[Result Details],,,,,,,,,,,,,,,,,,,,,,,,,,
Result Name,[80.78] FSAE Aero Pwr90%, FSAE Endurance Germany 2012,,,,,,,,,,,,,,,,,,,,,,,,
Date Created,10/11/2016 10:10,,,,,,,,,,,,,,,,,,,,,,,,,
Track,FSAE Endurance Germany 2012,,,,,,,,,,,,,,,,,,,,,,,,,
Track Configuration,Closed Circuit,,,,,,,,,,,,,,,,,,,,,,,,,
Vehicle,FSAE Aero,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
50.89759816,0.144575064,2.25,-9.699774286,-11.60510317,1,13,7977.86791,41.78455188,46.81307195,161.6764732,107.7843155,0,0,74.96552427,-20.60762522,1,65.81082079,1.5,1.4,-3.741797722,-6.087844687,-1.070554666,1.576913696,1.689075289,0,2810.376473
50.14780393,0.162804092,2.5,-10.31587774,-11.82482451,1,13,7860.342534,41.91148564,46.26356313,156.9481092,104.6320728,0,0,76.69309674,-18.81016696,1,62.59726456,1.5,1.4,-4.479610012,-6.513570472,-2.445654338,1.761376885,1.869323458,0,2805.648109
49.37180575,0.181321023,2.75,-9.985413937,-11.51557481,1,13,7738.709859,42.04285549,45.69043788,152.1283913,101.4189275,99.99999637,0,74.77239483,-18.83592484,1,62.64406912,1.5,1.4,-5.19152922,-6.663020793,-0.845194107,1.948173408,2.047207643,0,2800.828391
48.60416657,0.200129835,3,-10.31478051,-11.13922003,1,13,7618.387405,42.17281024,45.11907068,147.4345439,98.28969597,0,0,72.37489785,-17.67184967,1,60.5048443,1.5,1.4,-5.948445058,-6.979984616,-1.764724594,2.137197295,2.222786472,0,2796.134544
47.84991077,0.219232951,3.25,-10.70209335,-10.71926044,1,13,7500.162707,42.3004993,44.55338744,142.8941713,95.26278085,0,0,69.66050953,-16.50777451,1,58.31268995,1.5,1.4,-6.758532122,-7.260641394,-1.538508687,2.328556668,2.395882347,0,2791.594171
47.1127342,0.238641197,3.5,-11.10948901,-10.60108095,1,13,7384.615068,42.42529699,43.99641644,138.5252263,92.35015086,0,0,69.0269645,-15.41620701,1,56.20308832,1.5,1.4,-7.640034924,-7.557753555,-1.603107839,2.522377436,2.566284679,0,2787.225226
46.37203997,0.258365705,3.75,-11.18653439,-10.47097417,1,13,7268.516059,42.55069019,43.43270858,134.2037504,89.46916695,0,0,68.30643862,-14.83241401,1,55.05112017,1.5,1.4,-8.555362926,-7.847538564,-1.538503028,2.71882911,2.73371252,0,2782.90375
45.62851464,0.278410992,4,-11.274436,-10.11846557,1,13,7151.973293,42.67656267,42.86273383,129.9346294,86.6230863,0,0,66.03169086,-14.24862102,1,53.88119271,1.5,1.4,-9.498628649,-8.050000239,-1.057691886,2.917962551,2.898007292,0,2778.634629
44.89833549,0.298787553,4.25,-11.57567005,-9.950716028,1,13,7037.522454,42.80017576,42.29898018,125.8092957,83.87286381,0,0,65.03353579,-13.43721732,1,52.22292702,1.5,1.4,-10.50734085,-8.329637857,-1.437120936,3.119806519,3.059027789,0,2774.509296
44.16839454,0.319505543,4.5,-11.69203372,-9.759172133,1,13,6923.108951,42.92374852,41.73143884,121.7518241,81.16788276,0,0,63.8633828,-12.87443463,1,51.04897004,1.5,1.4,-11.55894535,-8.609143209,-1.412768955,3.324485928,3.216494636,0,2770.451824
43.44050902,0.34057437,4.75,-11.82683342,-9.537156459,1,13,6809.017623,43.04697332,41.16154144,117.7720028,78.51466853,0,0,62.4734619,-12.31165195,1,49.85388319,1.5,1.4,-12.65726178,-8.76969465,-0.797999196,3.53205228,3.370201775,0,2766.472003
42.71713687,0.36201514,5,-11.98403862,-9.600509392,1,13,6695.633738,43.16943403,40.59126582,113.8823767,75.92158446,0,0,63.07571575,-11.74886926,1,48.63605544,1.5,1.4,-13.81996712,-9.036708366,-1.304132779,3.742557361,3.519923791,0,2762.582377
41.97610455,0.383837284,5.25,-11.89261146,-9.338047536,1,13,6579.481734,43.29488447,40.00302388,109.9655157,73.3103438,0,0,61.39437553,-11.43199521,1,47.9396819,1.5,1.4,-14.99988431,-9.169495391,-0.637216249,3.956085805,3.665362965,0,2758.665516
41.24251016,0.406047837,5.5,-12.08080307,-9.020128664,1,13,6464.495579,43.41907573,39.41665515,106.1554828,70.77032183,0,0,59.31446443,-10.86399041,1,46.67081219,1.5,1.4,-16.23954122,-9.607965139,-2.067325616,4.172591349,3.806392236,0,2754.855483
40.5212788,0.428617979,5.75,-12.30533259,-7.945460347,1,13,6351.447248,43.54117403,38.83625833,102.4751435,68.31676231,0,0,51.90074782,-10.29598562,1,45.37354795,1.5,1.4,-17.52064391,-9.986175147,-1.754798839,4.392122982,3.942720476,0,2751.175143
39.87569019,0.451525093,6,-13.04917952,-7.113095237,1,13,6250.255427,43.65046666,38.31344534,99.2358687,66.1572458,0,0,46.16016176,-9.402172584,1,43.26835256,1.5,1.4,-18.94346271,-10.65781559,-3.070400826,4.614672148,4.074120866,0,2747.935869
39.28910444,0.474717665,6.25,-13.52826797,-5.79180091,1,13,6158.311921,43.74977061,37.83572092,96.33775217,64.22516812,0,0,36.95164324,-8.804345169,1,41.81157914,1.5,1.4,-20.45892133,-11.60432732,-4.273716519,4.840436427,4.199966492,0,2745.037752
